#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
1;3M Company;MMM;178;-1.49;-0.83%;0.26049
2;A. O. Smith Corporation;AOS;84.08;0.54;0.65%;0.027905
3;ABIOMED Inc.;ABMD;336.44;-1.76;-0.52%;0.038513
4;AES Corporation;AES;23.24;-0.09;-0.39%;0.038993
5;AMETEK Inc.;AME;145.15;1.72;1.20%;0.083175
6;ANSYS Inc.;ANSS;376.16;-0.78;-0.21%;0.082324;0.227
7;APA Corp.;APA;29.68;1.28;4.51%;0.027076
8;ASML Holding NV;ASML;763;17.33;2.32%;;0.42
9;AT&T Inc.;T;26.16;-0.05;-0.19%;0.468928
10;AbbVie Inc.;ABBV;135.4;-0.47;-0.35%;0.603499
11;Abbott Laboratories;ABT;135.14;-0.02;-0.01%;0.600372
12;Accenture Plc Class A;ACN;378;-19.18;-4.83%;0.631074
13;Activision Blizzard Inc.;ATVI;64.05;-2.24;-3.38%;0.129311;0.348
14;Adobe Inc.;ADBE;514.6;0.17;0.03%;0.614102;1.753
15;Advance Auto Parts Inc.;AAP;241.65;5.20;2.20%;0.03875
16;Advanced Micro Devices Inc.;AMD;136.5;0.35;0.26%;0.413765;1.16
17;Aflac Incorporated;AFL;61.19;1.11;1.85%;0.092945
18;Agilent Technologies Inc.;A;149.75;1.15;0.77%;0.113091
19;Air Products and Chemicals Inc.;APD;298.02;-6.22;-2.04%;0.168921
20;Airbnb Inc;ABNB;160.05;-2.20;-1.36%;;0.394
21;Akamai Technologies Inc.;AKAM;111.88;-3.60;-3.12%;0.047173
22;Alaska Air Group Inc.;ALK;54.46;-0.31;-0.57%;0.017187
23;Albemarle Corporation;ALB;233.38;-2.26;-0.96%;0.069134
24;Alexandria Real Estate Equities Inc.;ARE;209.84;3.19;1.54%;0.073222
25;Align Technology Inc.;ALGN;567;-11.84;-2.05%;0.106639;0.327
26;Allegion PLC;ALLE;128.07;-1.24;-0.96%;0.0291
27;Alliant Energy Corp;LNT;61.01;-0.25;-0.41%;0.038441
28;Allstate Corporation;ALL;122.4;1.38;1.14%;0.08716
29;Alphabet Inc. Class A;GOOGL;2758.28;2.78;0.10%;2.082516;3.482
30;Alphabet Inc. Class C;GOOG;2756.88;3.81;0.14%;1.933863;3.678
31;Altria Group Inc;MO;49.48;0.84;1.73%;0.224957
32;Amazon.com Inc.;AMZN;3271.5;-15.64;-0.48%;3.602219;6.81
33;Amcor PLC;AMCR;11.99;-0.10;-0.83%;0.046743
34;Ameren Corporation;AEE;87.9;-0.43;-0.49%;0.057083
35;American Airlines Group Inc.;AAL;18.6;-0.08;-0.43%;0.0303
36;American Electric Power Company Inc.;AEP;89.18;-0.29;-0.32%;0.112327;0.297
37;American Express Company;AXP;172.9;1.14;0.66%;0.270714
38;American International Group Inc.;AIG;59.19;1.00;1.72%;0.121371
39;American Tower Corporation;AMT;264.89;0.32;0.12%;0.301743
40;American Water Works Company Inc.;AWK;174.05;-4.05;-2.27%;0.081095
41;Ameriprise Financial Inc.;AMP;319.2;4.26;1.35%;0.089803
42;AmerisourceBergen Corporation;ABC;130.11;-2.39;-1.80%;0.049376
43;Amgen Inc.;AMGN;225.17;0.03;0.01%;0.320277;0.853
44;Amphenol Corporation Class A;APH;85.19;0.07;0.08%;0.127713
45;Analog Devices Inc.;ADI;175.67;2.83;1.64%;0.233189;0.627
46;Anthem Inc.;ANTM;439.45;-18.77;-4.10%;0.280193
47;Aon Plc Class A;AON;290.5;-2.50;-0.85%;0.162192
48;Apple Inc.;AAPL;172.11;-2.81;-1.61%;6.849522;11.815
49;Applied Materials Inc.;AMAT;156.86;3.12;2.03%;0.34875;0.951
50;Aptiv PLC;APTV;174.12;5.84;3.47%;0.11418
51;Archer-Daniels-Midland Company;ADM;69.22;0.61;0.89%;0.096258
52;Arista Networks Inc.;ANET;132.67;-0.48;-0.36%;0.075044
53;Arthur J. Gallagher & Co.;AJG;166.08;1.79;1.09%;0.085119
54;Assurant Inc.;AIZ;155.83;-0.48;-0.31%;0.023058
55;Atlassian Corp PLC;TEAM;313.75;2.11;0.68%;;0.313
56;Atmos Energy Corporation;ATO;105.77;-0.83;-0.78%;0.034975
57;AutoZone Inc.;AZO;2062.49;28.46;1.40%;0.107038
58;Autodesk Inc.;ADSK;263.77;-0.55;-0.21%;0.145845;0.407
59;Automatic Data Processing Inc.;ADP;241.39;-1.67;-0.69%;0.257902;0.687
60;AvalonBay Communities Inc.;AVB;251.93;0.78;0.31%;0.087948
61;Avery Dennison Corporation;AVY;214.01;0.03;0.01%;0.044499
62;Baidu Inc ADR;BIDU;151.19;7.31;5.08%;;0.236
63;Baker Hughes Company Class A;BKR;26.11;0.43;1.67%;0.056406
64;Ball Corporation;BLL;91.56;0.14;0.15%;0.074886
65;Bank of America Corp;BAC;48.17;0.99;2.09%;0.853603
66;Bank of New York Mellon Corporation;BK;61.76;1.58;2.63%;0.114853
67;Bath & Body Works Inc.;BBWI;62.34;-4.26;-6.40%;0.044223
68;Baxter International Inc.;BAX;86.78;-1.08;-1.23%;0.110165
69;Becton Dickinson and Company;BDX;249.73;-3.22;-1.27%;0.182233
