#;Company;Symbol;Weight nasdaq100;      Price;Chg;% Chg
1;Apple Inc;AAPL;11.815;  172.13;-2.79;(-1.60%)
2;Microsoft Corp;MSFT;9.899;  314.58;-1.80;(-0.57%)
3;Amazon.com Inc;AMZN;6.81;  3,273.00;-14.14;(-0.43%)
4;Meta Platforms Inc;FB;4.779;  333.69;9.52;(2.94%)
5;Tesla Inc;TSLA;4.627;  1,066.50;-21.62;(-1.99%)
6;NVIDIA Corp;NVDA;4.13;  282.42;6.38;(2.31%)
7;Alphabet Inc;GOOG;3.678;  2,757.00;3.93;(0.14%)
8;Alphabet Inc;GOOGL;3.482;  2,758.28;2.78;(0.10%)
9;Broadcom Inc;AVGO;1.836;  637.03;-5.97;(-0.93%)
10;Adobe Inc;ADBE;1.753;  514.60;0.17;(0.03%)
11;Netflix Inc;NFLX;1.741;  553.32;-14.20;(-2.50%)
12;Cisco Systems Inc/Delaware;CSCO;1.718;  61.04;0.76;(1.26%)
13;Costco Wholesale Corp;COST;1.657;  550.80;0.88;(0.16%)
14;PepsiCo Inc;PEP;1.593;  173.86;0.04;(0.02%)
15;Comcast Corp;CMCSA;1.522;  50.51;0.29;(0.58%)
16;PayPal Holdings Inc;PYPL;1.493;  192.55;5.39;(2.88%)
17;Intel Corp;INTC;1.437;  54.15;0.28;(0.52%)
18;QUALCOMM Inc;QCOM;1.394;  186.50;0.00;(0.00%)
19;Texas Instruments Inc;TXN;1.172;  186.76;-0.06;(-0.03%)
20;Intuit Inc;INTU;1.164;  586.39;-7.31;(-1.23%)
21;Advanced Micro Devices Inc;AMD;1.16;  136.50;0.35;(0.26%)
22;Honeywell International Inc;HON;0.957;  210.82;-0.24;(-0.11%)
23;Applied Materials Inc;AMAT;0.951;  156.48;2.74;(1.78%)
24;T-Mobile US Inc;TMUS;0.947;  113.60;-1.76;(-1.53%)
25;Starbucks Corp;SBUX;0.891;  111.52;1.08;(0.98%)
26;Amgen Inc;AMGN;0.853;  225.17;0.03;(0.01%)
27;Intuitive Surgical Inc;ISRG;0.842;  334.18;-7.77;(-2.27%)
28;Charter Communications Inc;CHTR;0.764;  631.95;7.09;(1.13%)
29;Micron Technology Inc;MU;0.717;  95.94;1.54;(1.63%)
30;Automatic Data Processing Inc;ADP;0.687;  241.39;-1.67;(-0.69%)
31;Booking Holdings Inc;BKNG;0.673;  2,429.97;16.67;(0.69%)
32;Lam Research Corp;LRCX;0.667;  696.55;4.74;(0.69%)
33;Moderna Inc;MRNA;0.628;  216.06;0.83;(0.39%)
34;Analog Devices Inc;ADI;0.627;  175.67;2.83;(1.64%)
35;Mondelez International Inc;MDLZ;0.616;  67.38;-0.03;(-0.04%)
36;Gilead Sciences Inc;GILD;0.602;  71.59;-0.59;(-0.82%)
37;CSX Corp;CSX;0.555;  37.71;0.27;(0.72%)
38;Marvell Technology Inc;MRVL;0.484;  85.53;1.41;(1.68%)
39;Fiserv Inc;FISV;0.478;  109.10;0.74;(0.68%)
40;KLA Corp;KLAC;0.435;  432.22;11.48;(2.73%)
41;Regeneron Pharmaceuticals Inc;REGN;0.434;  598.44;3.32;(0.56%)
42;Lucid Group Inc;LCID;0.431;  37.85;1.17;(3.19%)
43;ASML Holding NV;ASML;0.42;  763.00;17.33;(2.32%)
44;MercadoLibre Inc;MELI;0.417;  1,156.78;27.09;(2.40%)
45;NXP Semiconductors NV;NXPI;0.412;  226.96;2.39;(1.06%)
46;Autodesk Inc;ADSK;0.407;  263.77;-0.55;(-0.21%)
47;Airbnb Inc;ABNB;0.394;  160.05;-2.20;(-1.36%)
48;Illumina Inc;ILMN;0.387;  380.00;12.12;(3.29%)
49;Vertex Pharmaceuticals Inc;VRTX;0.375;  221.90;0.48;(0.22%)
50;Exelon Corp;EXC;0.371;  56.74;-0.23;(-0.40%)
51;Marriott International Inc/MD;MAR;0.364;  165.22;0.85;(0.52%)
52;Synopsys Inc;SNPS;0.358;  344.97;5.20;(1.53%)
53;Xilinx Inc;XLNX;0.354;  204.00;2.34;(1.16%)
54;Keurig Dr Pepper Inc;KDP;0.351;  37.43;0.40;(1.08%)
55;Fortinet Inc;FTNT;0.35;  314.00;10.51;(3.46%)
56;Activision Blizzard Inc;ATVI;0.348;  64.05;-2.24;(-3.38%)
57;Monster Beverage Corp;MNST;0.344;  95.52;-0.53;(-0.55%)
58;Palo Alto Networks Inc;PANW;0.344;  532.91;28.05;(5.56%)
59;IDEXX Laboratories Inc;IDXX;0.341;  576.36;-7.10;(-1.22%)
60;Dexcom Inc;DXCM;0.33;  483.00;-4.81;(-0.99%)
61;Cadence Design Systems Inc;CDNS;0.329;  176.21;3.59;(2.08%)
62;Align Technology Inc;ALGN;0.327;  567.70;-11.14;(-1.92%)
63;Workday Inc;WDAY;0.325;  250.63;2.37;(0.95%)
64;Microchip Technology Inc;MCHP;0.323;  85.30;0.78;(0.92%)
65;Paychex Inc;PAYX;0.322;  130.80;-0.89;(-0.68%)
66;Cognizant Technology Solutions Corp;CTSH;0.319;  88.23;-1.79;(-1.99%)
67;JD.com Inc ADR;JD;0.317;  66.99;3.97;(6.30%)
68;Lululemon Athletica Inc;LULU;0.316;  369.32;6.84;(1.89%)
69;O'Reilly Automotive Inc;ORLY;0.313;  700.00;14.67;(2.14%)
70;Atlassian Corp PLC;TEAM;0.313;  313.75;2.11;(0.68%)
71;Walgreens Boots Alliance Inc;WBA;0.308;  52.44;-1.56;(-2.89%)
72;Kraft Heinz Co/The;KHC;0.3;  36.83;0.07;(0.19%)
73;American Electric Power Co Inc;AEP;0.297;  89.18;-0.29;(-0.32%)
74;Cintas Corp;CTAS;0.292;  403.00;-2.98;(-0.73%)
75;Zoom Video Communications Inc;ZM;0.29;  176.65;1.77;(1.01%)
76;eBay Inc;EBAY;0.271;  66.81;2.32;(3.60%)
77;Datadog Inc;DDOG;0.27;  143.89;-1.63;(-1.12%)
78;Ross Stores Inc;ROST;0.267;  109.51;-0.15;(-0.14%)
79;Zscaler Inc;ZS;0.262;  260.36;-1.97;(-0.75%)
80;Crowdstrike Holdings Inc;CRWD;0.259;  188.80;9.51;(5.30%)
81;Electronic Arts Inc;EA;0.255;  129.69;-4.11;(-3.07%)
82;Match Group Inc;MTCH;0.25;  126.80;1.28;(1.02%)
83;Xcel Energy Inc;XEL;0.245;  68.50;-0.54;(-0.78%)
84;Fastenal Co;FAST;0.238;  61.89;0.35;(0.57%)
85;Verisk Analytics Inc;VRSK;0.238;  212.67;-1.64;(-0.77%)
86;Baidu Inc ADR;BIDU;0.236;  151.19;7.31;(5.08%)
87;Biogen Inc;BIIB;0.236;  237.30;-1.97;(-0.82%)
88;Copart Inc;CPRT;0.23;  141.48;-0.03;(-0.02%)
89;ANSYS Inc;ANSS;0.227;  376.16;-0.78;(-0.21%)
90;PACCAR Inc;PCAR;0.214;  93.97;0.89;(0.96%)
91;Okta Inc;OKTA;0.211;  202.22;3.63;(1.83%)
92;Dollar Tree Inc;DLTR;0.21;  143.40;3.00;(2.13%)
93;DocuSign Inc;DOCU;0.202;  143.25;-0.93;(-0.64%)
94;Seagen Inc;SGEN;0.186;  144.92;-0.73;(-0.50%)
95;VeriSign Inc;VRSN;0.185;  241.82;-1.69;(-0.69%)
96;NetEase Inc ADR;NTES;0.184;  97.14;1.68;(1.76%)
97;Skyworks Solutions Inc;SWKS;0.177;  158.14;0.06;(0.04%)
98;Sirius XM Holdings Inc;SIRI;0.164;  6.17;0.02;(0.33%)
99;Pinduoduo Inc ADR;PDD;0.138;  52.18;3.65;(7.52%)
100;Splunk Inc;SPLK;0.124;  114.80;2.56;(2.28%)
101;Peloton Interactive Inc;PTON;0.068;  34.00;1.77;(5.49%)
