Year;Host;;Final;Final (1);Final (2);;Third place playoff;Third place playoff (1);Third place playoff (2);;Number of teams
;;;Winners;Score and Venue;Runners-up;;Third place;Score and venue;Fourth place; ; 
1960; France;;Soviet Union;2–1 (a.e.t.) Parc des Princes, Paris;Yugoslavia;;Czechoslovakia;2–0 Stade Vélodrome, Marseille;France;;4
1964; Spain;;Spain;2–1 Santiago Bernabéu, Madrid;Soviet Union;;Hungary;3–1 (a.e.t.) Camp Nou, Barcelona;Denmark;;4
1968; Italy;;Italy;1–1 (a.e.t.) 2–0 (replay) Stadio Olimpico, Rome;Yugoslavia;;England;2–0 Stadio Olimpico, Rome;Soviet Union;;4
1972; Belgium;;West Germany;3–0 Heysel Stadium, Brussels;Soviet Union;;Belgium;2–1 Stade Maurice Dufrasne, Liège;Hungary;;4
1976; Yugoslavia;;Czechoslovakia;2–2 (a.e.t.) (5–3 p) Red Star Stadium, Belgrade;West Germany;;Netherlands;3–2 (a.e.t.) Stadion Maksimir, Zagreb;Yugoslavia;;4
1980; Italy;;West Germany;2–1 Stadio Olimpico, Rome;Belgium;;Czechoslovakia;1–1[a] (9–8 p) Stadio San Paolo, Naples;Italy;;8
;;;;;;;Losing semi-finalists[b];Losing semi-finalists[b] (1);Losing semi-finalists[b] (2); ; 
1984; France;;France;2–0 Parc des Princes, Paris;Spain;; Denmark and  Portugal;...;...;;8
1988; West Germany;;Netherlands;2–0 Olympiastadion, Munich;Soviet Union;; Italy and  West Germany;...;...;;8
1992; Sweden;;Denmark;2–0 Ullevi, Gothenburg;Germany;; Netherlands and  Sweden;...;...;;8
1996; England;;Germany;2–1 (g.g.) Wembley Stadium, London;Czech Republic;; England and  France;...;...;;16
2000; Belgium  Netherlands;;France;2–1 (g.g.) De Kuip, Rotterdam;Italy;; Netherlands and  Portugal;...;...;;16
2004; Portugal;;Greece;1–0 Estádio da Luz, Lisbon;Portugal;; Czech Republic and  Netherlands;...;...;;16
2008; Austria   Switzerland;;Spain;1–0 Ernst-Happel-Stadion, Vienna;Germany;; Russia and  Turkey;...;...;;16
2012; Poland  Ukraine;;Spain;4–0 Olimpiyskiy, Kyiv;Italy;; Germany and  Portugal;...;...;;16
2016; France;;Portugal;1–0 (a.e.t.) Stade de France, Saint-Denis;France;; Germany and  Wales;...;...;;24
2020[c]; Europe[d];;Italy;1–1 (a.e.t.) (3–2 p) Wembley Stadium, London;England;; Denmark and  Spain;...;...;;24
2024; Germany;;;;;;;...;...;;24
;; ;;;; ;;;; 
