country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2018;IMF Y2019;IMF Y2020;IMF Y2021
Advanced Economies;1.7;2.3;2.1;1.7;1.5;1.5;2.2;1.7;-6.1;4.5
Afghanistan;2.3;2.7;1;2.4;3.2;3.6;2.7;3;-3;4.5
Albania;3.3;3.8;4.1;3.7;3.7;3.8;4.1;2.2;-5;8
Algeria;3.2;1.4;1.5;1.9;1.7;1.4;1.4;0.7;-5.2;6.2
Angola;-2.6;-0.1;-1.7;1;2.9;2.8;-1.2;-1.5;-1.4;2.6
Antigua and Barbuda;;;;;;;7.4;5.3;-10;8
Argentina;-2.1;2.7;-2.5;-1.2;2.2;3.2;-2.5;-2.2;-5.7;4.4
Armenia;0.2;7.5;5.2;4.2;4.9;5.2;5.2;7.6;-1.5;4.8
Aruba;;;;;;;1.2;0.4;-13.7;12.1
Australia;;;;;;;2.7;1.8;-6.7;6.1
Austria;;;;;;;2.4;1.6;-7;4.5
Azerbaijan;-3.1;0.1;1.4;3.3;3.5;3.7;1.5;2.3;-2.2;0.7
Bahamas The;;;;;;;1.6;1.8;-8.3;6.7
Bahrain;3.5;3.8;1.8;2;2.2;2.8;2;1.8;-3.6;3
Bangladesh;7.1;7.3;7.9;7.3;7.4;7.3;8;7.9;2;9.5
Barbados;;;;;;;-0.6;-0.1;-7.6;7.1
Belarus;-2.5;2.5;3;1.8;1.3;1.2;3.1;1.2;-6;3.5
Belgium;;;;;;;1.5;1.4;-6.9;4.6
Belize;-0.6;1.4;3;2.3;2.1;1.9;2.1;0.3;-12;7.6
Benin;4;5.8;6.5;6.5;6.5;6.5;6.7;6.4;4.5;6
Bhutan;7.4;6.3;5.8;5.4;5.4;5.2;3.7;5.3;2.7;2.9
Bolivia;4.3;4.2;4.2;4;3.6;3.4;4.2;2.8;-2.9;2.9
Bosnia and Herzegovina;3.1;3.2;3.1;3.4;3.9;4;3.6;2.7;-5;3.5
Botswana;4.3;2.9;4.5;4.2;3.9;4;4.5;3;-5.4;6.8
Brazil;-3.3;1.1;1.1;1.5;2.5;2.3;1.3;1.1;-5.3;2.9
Brunei Darussalam;;;;;;;0.1;3.9;1.3;3.5
Bulgaria;3.9;3.8;3.1;3;2.8;2.8;3.1;3.4;-4;6
Burkina Faso;5.9;6.3;6.8;6;6;6;6.8;5.7;2;5.8
Burundi;-0.6;0.5;1.6;1.8;2.1;2;1.6;1.8;-5.5;4.2
Cabo Verde;4.7;4;4.5;4.4;4.6;4.7;5.1;5.5;-4;5.5
Cambodia;7;7;7.5;7;6.9;6.8;7.5;7;-1.6;6.1
Cameroon;4.6;3.5;4;4.2;4.4;4.6;4.1;3.7;-1.2;4.1
Canada;;;;;;;2;1.6;-6.2;4.2
Central African Republic;;;;;;;3.8;3;1;4
Chad;-6.3;-3;2.6;3.4;5.6;4.8;2.3;3;-0.2;6.1
Chile;1.7;1.3;4;3.5;3.1;3;3.9;1.1;-4.5;5.3
China;6.7;6.8;6.6;6.2;6.1;6;6.7;6.1;1.2;9.2
Colombia;2.1;1.4;2.6;3.5;3.7;3.7;2.5;3.3;-2.4;3.7
Comoros;2.2;2.7;2.8;3.1;3.2;3.2;3.6;1.9;-1.2;3.1
Congo Dem. Rep.;2.4;3.7;5.8;5.9;6.5;6.8
Congo Democratic Republic of the;;;;;;;5.8;4.4;-2.2;3.5
Congo Rep.;-2.8;-3.1;0.8;5.4;1.5;1.9
Congo Republic of;;;;;;;1.6;-0.9;-2.3;3.4
Costa Rica;4.2;3.4;2.7;3;3.1;3.4;2.7;2.1;-3.3;3
Croatia;3.5;2.9;2.6;2.5;2.5;2.4;2.7;2.9;-9;4.9
Cyprus;;;;;;;4.1;3.2;-6.5;5.6
Czech Republic;;;;;;;2.8;2.6;-6.5;7.5
Côte d'Ivoire;8;7.7;7.4;7.4;7.3;7.3;6.8;6.9;2.7;8.7
Denmark;;;;;;;2.4;2.4;-6.5;6
Djibouti;9.1;4.1;6;7;7.5;8;8.4;7.5;1;8.5
Dominica;;;;;;;0.5;9.2;-4.7;3.4
Dominican Republic;6.6;4.6;7;5.2;5;5;7;5.1;-1;4
East Asia and Pacific (EAP);6.3;6.5;6.3;5.9;5.9;5.8
Ecuador;-1.2;2.4;1.4;0;0.4;0.8;1.3;0.1;-6.3;3.9
Egypt;4.3;4.2;5.3;5.5;5.8;6;5.3;5.6;2;2.8
El Salvador;2.5;2.3;2.5;2.6;2.5;2.4;2.4;2.4;-5.4;4.5
Emerging Market and Developing Economies;4.1;4.5;4.3;4;4.6;4.6;4.5;3.7;-1;6.6
Equatorial Guinea;-8.8;-4.7;-2.9;-2.2;-1.9;-1.8;-5.8;-6.1;-5.5;2.3
Eritrea;;;;;;;13;3.8;0.1;5.9
Estonia;;;;;;;4.8;4.3;-7.5;7.9
Eswatini;3.2;1.9;0.5;1.1;1.6;1.7;2.4;1;-0.9;1.8
Ethiopia;7.6;10.2;7.9;7.9;8.2;8.2;7.7;9;3.2;4.3
Euro Area;2;2.4;1.8;1.2;1.4;1.3
