City;State / Province;Country;Inhabitants;Famous attraction;Alt. (m);Famous cultural place;Moving along
New York City;New York;USA;8300000;St. of Liberty;10;Guggenheim;Taxi
Washington;D.C.;USA;650000;Lincoln Statue;7;Smithsonian Institute;Delivery drone
Philadelphia;Pennsylvania;USA;1500000;Independence hall;12;;PCC streetcar
Boston;Massachusetts;USA;620000;Freedom trail;43;;Walking
San Francisco;California;USA;805000;Golden Gate;16;SFMOMA;Cable car
Montréal;Quebec;CAN;1700000;Hôtel du Parlement;;Rialto Theater;Skidoo
Copenhagen;Hovedstaten;DAN;580000;Little Mermaid;24;Royal Theater;Bicycle
Venice;Venetia;ITA;260000;Doge's Palace;1;Theatro la Fenice;Gondola
Los Angeles;California;USA;3800000;Hollywood;100;Walt Disney Concert Hall;Car
Vienna;;AUT;1800000;Prater;;Opera;Fiacre
Bangkok;;THA;8250000;Wat Phra Kaeo;5;National Museum;Longtail boat
Zürich;Kt. Zürich;SWI;404000;Street Parade;408;Kunsthaus;Tram
Paris;Île de France;FRA;2240000;Eiffel Tower;;Louvre;Métro
Davos;Grishun;SWI;11000;Ice rink stadium;1650;Kirchner Museum;Ski lift
