country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2019;IMF Y2020;IMF Y2021;IMF Y2022;IMF Y2023;IMF Y2024;IMF Y2025;IMF Y2026
Advanced Economies;1.7;2.3;2.1;1.7;1.5;1.5;;;5.2;4.5;2.2;1.7;1.6;1.6
Afghanistan;2.3;2.7;1;2.4;3.2;3.6;;;0;0;0;0;0;0
Albania;3.3;3.8;4.1;3.7;3.7;3.8;;;5.3;4.5;4.1;3.7;3.5;3.5
Algeria;3.2;1.4;1.5;1.9;1.7;1.4;;;3.4;1.9;1.7;0.8;0.1;0.1
Andorra;;;;;;;2;-12;5.5;4.8;2.7;2.2;1.5;1.5
Angola;-2.6;-0.1;-1.7;1;2.9;2.8;;;-0.7;2.4;3.3;3.7;3.8;3.7
Antigua and Barbuda;;;;;;;4.7;-20;1;7;5.6;4.4;3.4;2.7
Argentina;-2.1;2.7;-2.5;-1.2;2.2;3.2;;;7.5;2.5;2;1.8;1.8;1.8
Armenia;0.2;7.5;5.2;4.2;4.9;5.2;;;6.5;4.5;4.4;4.1;4;4
Aruba;;;;;;;-2.1;-22.3;12.8;7.5;6.2;2.5;1.6;1.4
Australia;;;;;;;1.9;-2.4;3.5;4.1;2.6;2.6;2.6;2.6
Austria;;;;;;;1.4;-6.2;3.9;4.5;2.1;2;2;1.8
Azerbaijan;-3.1;0.1;1.4;3.3;3.5;3.7;;;3;2.3;1.7;1.7;1.7;1.7
Bahamas The;;;;;;;0.7;-14.5;2;8;4;3.4;1.8;1.5
Bahrain;3.5;3.8;1.8;2;2.2;2.8;;;2.4;3.1;3.1;3.1;3.1;3.1
Bangladesh;7.1;7.3;7.9;7.3;7.4;7.3;;;4.6;6.5;7.2;7.2;7.2;7.1
Barbados;;;;;;;-1.3;-18;3.3;8.5;4.8;2.8;1.8;1.8
Belarus;-2.5;2.5;3;1.8;1.3;1.2;;;2.1;0.5;1;1.2;1.3;1.3
Belgium;;;;;;;1.8;-6.3;5.6;3.1;1.8;1.4;1.3;1.3
Belize;-0.6;1.4;3;2.3;2.1;1.9;;;8.5;5.4;2.8;2;2;2
Benin;4;5.8;6.5;6.5;6.5;6.5;;;5.5;6.5;6.5;6.5;6.5;6.5
Bhutan;7.4;6.3;5.8;5.4;5.4;5.2;;;-1.9;4.2;5.7;7.6;5.8;5.8
Bolivia;4.3;4.2;4.2;4;3.6;3.4;;;5;4;3.7;3.6;3.5;3.4
Bosnia and Herzegovina;3.1;3.2;3.1;3.4;3.9;4;;;2.8;3.3;3;3;3;3
Botswana;4.3;2.9;4.5;4.2;3.9;4;;;9.2;4.7;4.4;4;4;4
Brazil;-3.3;1.1;1.1;1.5;2.5;2.3;;;5.2;1.5;2;2.1;2.1;2.1
Brunei Darussalam;;;;;;;3.9;1.1;2;2.6;2.4;2.2;2.1;2.1
Bulgaria;3.9;3.8;3.1;3;2.8;2.8;;;4.5;4.4;4;3.6;3.1;2.8
Burkina Faso;5.9;6.3;6.8;6;6;6;;;6.7;5.6;5.3;5.3;5.3;5.3
Burundi;-0.6;0.5;1.6;1.8;2.1;2;;;1.6;4.2;4.7;4.9;5.2;4.8
Cabo Verde;4.7;4;4.5;4.4;4.6;4.7;;;4;6.5;6.1;6.1;6.2;6.2
Cambodia;7;7;7.5;7;6.9;6.8;;;1.9;5.7;6.4;6.5;6.5;6.6
Cameroon;4.6;3.5;4;4.2;4.4;4.6;;;3.6;4.6;4.9;5.3;5.4;5.6
Canada;;;;;;;1.9;-5.3;5.7;4.9;2.6;1.5;1.4;1.5
Central African Republic;;;;;;;3;1;-1;4;5;5;5;4.9
Chad;-6.3;-3;2.6;3.4;5.6;4.8;;;0.9;2.4;2.5;4.4;4.4;3.8
Chile;1.7;1.3;4;3.5;3.1;3;;;11;2.5;1.9;2;2.3;2.5
