#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
1;Apple Inc.;AAPL;6.696589;  164.33;0.35;(0.21%)
2;Microsoft Corporation;MSFT;5.930459;  300.78;0.35;(0.12%)
3;Amazon.com Inc.;AMZN;3.669759;  3,226.51;1.50;(0.05%)
4;Alphabet Inc. Class A;GOOGL;2.154423;  2,728.00;5.49;(0.20%)
5;Alphabet Inc. Class C;GOOG;2.013944;  2,741.00;4.97;(0.18%)
6;Tesla Inc;TSLA;1.897005;  907.60;2.21;(0.24%)
7;Berkshire Hathaway Inc. Class B;BRK.B;1.690353;  342.41;0.00;(0.00%)
8;NVIDIA Corporation;NVDA;1.656609;  265.10;0.57;(0.22%)
9;Meta Platforms Inc. Class A;FB;1.316444;  216.35;-0.14;(-0.06%)
10;UnitedHealth Group Incorporated;UNH;1.278295;  506.12;0.00;(0.00%)
11;Johnson & Johnson;JNJ;1.245895;  175.00;0.16;(0.09%)
12;JPMorgan Chase & Co.;JPM;1.108641;  140.10;0.00;(0.00%)
13;Procter & Gamble Company;PG;0.972707;  150.45;0.30;(0.20%)
14;Visa Inc. Class A;V;0.958169;  219.11;0.00;(0.00%)
15;Home Depot Inc.;HD;0.950182;  340.74;0.00;(0.00%)
16;Exxon Mobil Corporation;XOM;0.895047;  78.79;0.12;(0.15%)
17;Bank of America Corp;BAC;0.829453;  42.90;0.00;(0.00%)
18;Chevron Corporation;CVX;0.82772;  161.73;0.00;(0.00%)
19;Pfizer Inc.;PFE;0.814941;  54.59;0.08;(0.15%)
20;Mastercard Incorporated Class A;MA;0.804107;  350.09;0.00;(0.00%)
21;AbbVie Inc.;ABBV;0.750501;  159.20;0.00;(0.00%)
22;Walt Disney Company;DIS;0.678402;  140.30;0.00;(0.00%)
23;Broadcom Inc.;AVGO;0.664063;  610.80;0.39;(0.06%)
24;Costco Wholesale Corporation;COST;0.65378;  561.42;0.07;(0.01%)
25;Cisco Systems Inc.;CSCO;0.634155;  55.97;0.00;(0.00%)
26;Coca-Cola Company;KO;0.625303;  60.10;0.00;(0.00%)
27;Eli Lilly and Company;LLY;0.60681;  288.99;1.35;(0.47%)
28;Thermo Fisher Scientific Inc.;TMO;0.603593;  589.40;0.31;(0.05%)
29;PepsiCo Inc.;PEP;0.595673;  162.79;0.00;(0.00%)
