#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
1;3M Company;MMM;148.32;0.00;0.00%;0.227712
2;A. O. Smith Corporation;AOS;68.05;0.00;0.00%;0.024204
3;ABIOMED Inc.;ABMD;304.33;0.00;0.00%;0.0373
4;AES Corporation;AES;23.69;0.00;0.00%;0.041682
5;AMETEK Inc.;AME;134.76;0.00;0.00%;0.082011
6;ANSYS Inc.;ANSS;318.56;-0.04;-0.01%;0.072059;0.208
7;APA Corp.;APA;39.14;0.03;0.08%;0.038325
8;ASML Holding NV;ASML;683;3.14;0.46%;;0.422
9;AT&T Inc.;T;23.22;0.00;0.00%;0.441973
10;AbbVie Inc.;ABBV;159.2;0.00;0.00%;0.750501
11;Abbott Laboratories;ABT;122.45;0.00;0.00%;0.573585
12;Accenture Plc Class A;ACN;323.95;0.00;0.00%;0.539954
13;Activision Blizzard Inc.;ATVI;79.05;0.29;0.37%;0.163933;0.46
14;Adobe Inc.;ADBE;453.53;0.20;0.04%;0.565107;1.605
15;Advance Auto Parts Inc.;AAP;206.34;0.00;0.00%;0.035679
16;Advanced Micro Devices Inc.;AMD;113.8;0.34;0.30%;0.488679;1.384
17;Aflac Incorporated;AFL;62.95;0.00;0.00%;0.102452
18;Agilent Technologies Inc.;A;139.12;0.00;0.00%;0.110945
19;Air Products and Chemicals Inc.;APD;231.67;0.00;0.00%;0.135199
20;Airbnb Inc;ABNB;166.65;-0.35;-0.21%;;0.465
21;Akamai Technologies Inc.;AKAM;116.79;-0.83;-0.71%;0.050148
22;Alaska Air Group Inc.;ALK;55.19;0.00;0.00%;0.018154
23;Albemarle Corporation;ALB;198;-0.24;-0.12%;0.061367
24;Alexandria Real Estate Equities Inc.;ARE;195.64;0.00;0.00%;0.073243
25;Align Technology Inc.;ALGN;442.4;-0.47;-0.11%;0.083529;0.262
26;Allegion PLC;ALLE;118.14;0.00;0.00%;0.028233
27;Alliant Energy Corp;LNT;60.67;0.36;0.60%;0.040768
28;Allstate Corporation;ALL;133.5;0.00;0.00%;0.10045
29;Alphabet Inc. Class A;GOOGL;2728;5.49;0.20%;2.154423;3.699
30;Alphabet Inc. Class C;GOOG;2741;4.97;0.18%;2.013944;3.901
31;Altria Group Inc;MO;51.68;0.00;0.00%;0.254059
32;Amazon.com Inc.;AMZN;3226.51;1.50;0.05%;3.669759;7.413
33;Amcor PLC;AMCR;11.67;0.00;0.00%;0.047833
34;Ameren Corporation;AEE;87.85;0.00;0.00%;0.060989
35;American Airlines Group Inc.;AAL;16.73;-0.02;-0.12%;0.028596
36;American Electric Power Company Inc.;AEP;93.97;-0.10;-0.11%;0.126944;0.355
