#;Company;Symbol;Weight nasdaq100;      Price;Chg;% Chg
1;Apple Inc;AAPL;12.089;  164.33;0.35;(0.21%)
2;Microsoft Corp;MSFT;10.175;  300.78;0.35;(0.12%)
3;Amazon.com Inc;AMZN;7.413;  3,226.51;1.50;(0.05%)
4;Tesla Inc;TSLA;4.227;  907.60;2.21;(0.24%)
5;NVIDIA Corp;NVDA;4.204;  265.10;0.57;(0.22%)
6;Alphabet Inc;GOOG;3.901;  2,741.00;4.97;(0.18%)
7;Alphabet Inc;GOOGL;3.699;  2,728.00;5.49;(0.20%)
8;Meta Platforms Inc;FB;3.381;  216.35;-0.14;(-0.06%)
9;Broadcom Inc;AVGO;1.874;  610.80;0.39;(0.06%)
10;Costco Wholesale Corp;COST;1.866;  561.42;0.07;(0.01%)
11;Cisco Systems Inc;CSCO;1.743;  55.97;0.00;(0.00%)
12;PepsiCo Inc;PEP;1.688;  162.79;0.00;(0.00%)
13;Adobe Inc;ADBE;1.605;  453.53;0.20;(0.04%)
14;Comcast Corp;CMCSA;1.59;  46.91;0.00;(0.00%)
15;Intel Corp;INTC;1.448;  47.45;0.00;(0.00%)
16;Advanced Micro Devices Inc;AMD;1.384;  113.80;0.34;(0.30%)
17;QUALCOMM Inc;QCOM;1.301;  154.31;0.32;(0.21%)
18;Netflix Inc;NFLX;1.266;  380.89;0.29;(0.08%)
19;Texas Instruments Inc;TXN;1.247;  180.13;0.03;(0.02%)
20;T-Mobile US Inc;TMUS;1.191;  127.51;0.33;(0.26%)
21;PayPal Holdings Inc;PYPL;1.037;  117.76;-1.01;(-0.85%)
22;Intuit Inc;INTU;1.018;  482.68;2.81;(0.59%)
23;Honeywell International Inc;HON;1.001;  194.72;0.00;(0.00%)
24;Amgen Inc;AMGN;0.986;  235.02;-1.23;(-0.52%)
25;Applied Materials Inc;AMAT;0.895;  135.41;0.27;(0.20%)
26;Intuitive Surgical Inc;ISRG;0.778;  290.49;0.38;(0.13%)
27;Starbucks Corp;SBUX;0.772;  89.57;-0.03;(-0.03%)
28;Charter Communications Inc;CHTR;0.747;  577.31;-0.01;(-0.00%)
29;Automatic Data Processing Inc;ADP;0.676;  214.11;-0.58;(-0.27%)
30;Booking Holdings Inc;BKNG;0.67;  2,186.36;0.05;(0.00%)
31;Micron Technology Inc;MU;0.666;  79.55;0.14;(0.18%)
32;Analog Devices Inc;ADI;0.641;  164.00;0.55;(0.34%)
33;Mondelez International Inc;MDLZ;0.64;  61.51;0.00;(0.00%)
34;CSX Corp;CSX;0.597;  36.02;-0.29;(-0.80%)
35;Lam Research Corp;LRCX;0.569;  545.00;0.36;(0.07%)
36;Gilead Sciences Inc;GILD;0.558;  59.42;0.00;(0.00%)
37;Regeneron Pharmaceuticals Inc;REGN;0.549;  685.94;0.00;(0.00%)
38;Moderna Inc;MRNA;0.54;  179.39;0.46;(0.26%)
39;Fiserv Inc;FISV;0.492;  100.61;0.00;(0.00%)
40;Vertex Pharmaceuticals Inc;VRTX;0.475;  248.97;-0.11;(-0.04%)
41;Airbnb Inc;ABNB;0.465;  166.65;-0.35;(-0.21%)
42;Activision Blizzard Inc;ATVI;0.46;  79.05;0.29;(0.37%)
43;Marvell Technology Inc;MRVL;0.451;  71.33;0.00;(0.00%)
44;MercadoLibre Inc;MELI;0.448;  1,186.99;1.46;(0.12%)
45;Palo Alto Networks Inc;PANW;0.426;  577.02;0.00;(0.00%)
46;ASML Holding NV;ASML;0.422;  683.00;3.14;(0.46%)
47;Marriott International Inc/MD;MAR;0.419;  171.25;0.06;(0.04%)
48;KLA Corp;KLAC;0.412;  365.05;0.00;(0.00%)
49;Illumina Inc;ILMN;0.407;  347.99;1.88;(0.54%)
50;Keurig Dr Pepper Inc;KDP;0.402;  38.06;0.25;(0.66%)
51;Fortinet Inc;FTNT;0.386;  321.30;1.33;(0.42%)
52;NXP Semiconductors NV;NXPI;0.379;  192.75;0.33;(0.17%)
53;Synopsys Inc;SNPS;0.365;  318.21;0.00;(0.00%)
54;Cognizant Technology Solutions Corp;CTSH;0.361;  91.95;0.23;(0.25%)
55;Workday Inc;WDAY;0.358;  243.01;-0.59;(-0.24%)
56;American Electric Power Co Inc;AEP;0.355;  93.97;-0.10;(-0.11%)
57;Autodesk Inc;ADSK;0.352;  215.00;1.70;(0.80%)
58;Paychex Inc;PAYX;0.346;  128.00;-0.13;(-0.10%)
59;Kraft Heinz Co/The;KHC;0.345;  37.71;0.09;(0.24%)
60;O'Reilly Automotive Inc;ORLY;0.344;  689.98;0.00;(0.00%)
61;IDEXX Laboratories Inc;IDXX;0.343;  542.46;0.00;(0.00%)
62;Dexcom Inc;DXCM;0.34;  469.61;1.56;(0.33%)
63;Cadence Design Systems Inc;CDNS;0.33;  159.08;0.21;(0.13%)
64;Crowdstrike Holdings Inc;CRWD;0.325;  208.40;0.34;(0.16%)
65;Microchip Technology Inc;MCHP;0.322;  77.29;0.00;(0.00%)
66;Monster Beverage Corp;MNST;0.32;  80.70;0.11;(0.14%)
67;Lucid Group Inc;LCID;0.318;  25.70;0.03;(0.12%)
68;Exelon Corp;EXC;0.318;  43.21;-0.04;(-0.09%)
69;Atlassian Corp PLC;TEAM;0.312;  295.01;0.28;(0.10%)
70;Cintas Corp;CTAS;0.311;  401.50;1.13;(0.28%)
71;Walgreens Boots Alliance Inc;WBA;0.306;  47.30;-0.06;(-0.13%)
72;Lululemon Athletica Inc;LULU;0.293;  316.92;-0.01;(-0.00%)
73;JD.com Inc ADR;JD;0.291;  65.90;0.77;(1.18%)
74;Datadog Inc;DDOG;0.289;  145.99;0.23;(0.16%)
75;Old Dominion Freight Line Inc;ODFL;0.283;  328.85;0.55;(0.17%)
76;Xcel Energy Inc;XEL;0.281;  68.87;0.08;(0.12%)
77;AstraZeneca PLC ADR;AZN;0.27;  63.23;0.00;(0.00%)
78;Baidu Inc ADR;BIDU;0.27;  149.98;0.94;(0.63%)
79;Electronic Arts Inc;EA;0.266;  126.40;0.12;(0.10%)
80;Dollar Tree Inc;DLTR;0.265;  157.16;-0.01;(-0.01%)
81;Align Technology Inc;ALGN;0.262;  442.40;-0.47;(-0.11%)
