Name;ISIN;Letzter;Vortag;Tief;Hoch;+/-;%;Zeit Datum;3-Mon.;3-Mon-%;6-Mon.;6-Mon-%;1-Jahr;1-Jahr-%;1 Jahr Chart;Produkte (Anzeige)
ABB;CH0012221716;32.8;32.8;32.47;33.17;-0.09;-0.27;17:31:20 18.03.2022;-1.65;-4.83;-0.61;-1.84;3.92;13.72;;Long Short
Alcon;CH0432492467;72.26;72.26;70.4;72.26;0.60;0.84;17:31:20 18.03.2022;-7.88;-10.09;-8.16;-10.42;6.44;10.10;;Long Short
Credit Suisse;CH0012138530;7.59;7.59;7.41;7.59;0.11;1.47;17:31:20 18.03.2022;-1.14;-13.14;-1.95;-20.56;-4.48;-37.24;;Long Short
Geberit;CH0030170408;590.8;590.8;581.2;590.8;1.00;0.17;17:31:20 18.03.2022;-135.2;-18.86;-163.8;-21.97;0.6;0.10;;Long Short
Givaudan;CH0010645932;3834;3834;3758;3834;38.00;1.00;17:31:20 18.03.2022;-1071;-22.45;-790;-17.60;141;3.96;;Long Short
Holcim;CH0012214059;46.55;46.55;45.8;46.7;0.05;0.11;17:31:20 18.03.2022;1.09;2.42;-0.83;-1.77;-6.8;-12.86;;Long Short
Logitech;CH0025751329;69.64;69.64;67.24;69.64;1.48;2.17;17:31:20 18.03.2022;-8.08;-10.55;-19.28;-21.96;-23.54;-25.57;;Long Short
Lonza;CH0013841017;664.6;664.6;648.8;665;1.20;0.18;17:31:20 18.03.2022;-95.8;-12.81;-100.6;-13.36;109.8;20.24;;Long Short
Nestlé;CH0038863350;121.04;121.04;117.84;121.04;2.14;1.80;17:31:20 18.03.2022;-10.88;-8.54;2.08;1.82;15.08;14.87;;Long Short
Novartis;CH0012005267;80.78;80.78;80.17;80.92;0.17;0.21;17:31:20 18.03.2022;-0.36;-0.45;2;2.58;0.2;0.25;;Long Short
Partners Group;CH0024608827;1215.5;1215.5;1184;1217.5;17.00;1.42;17:31:20 18.03.2022;-292.5;-19.95;-430.5;-26.84;45.5;4.03;;Long Short
Richemont;CH0210483332;118.6;118.6;115;119.3;2.30;1.98;17:31:20 18.03.2022;-16.85;-12.83;14.97;15.05;24.61;27.39;;Long Short
Roche;CH0012032048;366.5;366.5;359.95;367.1;6.80;1.89;17:31:20 18.03.2022;-21.05;-5.56;14.95;4.36;46.85;15.06;;Long Short
SGS;CH0002497458;2668;2668;2635;2672;2.00;0.08;17:31:20 18.03.2022;-355;-11.96;-243;-8.51;-118;-4.32;;Long Short
Sika;CH0418792922;311.5;311.5;302.8;313.6;1.20;0.39;17:31:20 18.03.2022;-67.9;-18.38;-22.3;-6.88;38.7;14.72;;Long Short
Swiss Life;CH0014852781;582.4;582.4;578.6;585.8;-0.40;-0.07;17:31:20 18.03.2022;21;3.79;99.7;20.94;124.8;27.67;;Long Short
Swiss Re;CH0126881561;85.84;85.84;85.1;86.18;0.16;0.19;17:31:20 18.03.2022;-4.06;-4.53;4.98;6.18;-5.26;-5.79;;Long Short
Swisscom;CH0008742519;551;551;548.2;555;-5.40;-0.97;17:31:20 18.03.2022;32;6.18;14.2;2.65;64.4;13.26;;Long Short
UBS;CH0244767585;17.22;17.22;16.99;17.27;0.15;0.85;17:31:20 18.03.2022;0.89;5.48;1.72;11.23;2.51;17.25;;Long Short
Zurich Insurance;CH0011075394;444.8;444.8;439.6;444.8;3.80;0.86;17:31:20 18.03.2022;44.2;11.28;47.5;12.23;44.7;11.42;;Long Short
