#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
1;Apple Inc.;AAPL;6.849522;  172.13;-2.79;(-1.60%)
2;Microsoft Corporation;MSFT;5.96799;  314.58;-1.80;(-0.57%)
3;Amazon.com Inc.;AMZN;3.602219;  3,273.00;-14.14;(-0.43%)
4;Tesla Inc;TSLA;2.22382;  1,066.50;-21.62;(-1.99%)
5;Alphabet Inc. Class A;GOOGL;2.082516;  2,758.28;2.78;(0.10%)
6;Alphabet Inc. Class C;GOOG;1.933863;  2,757.00;3.93;(0.14%)
7;Meta Platforms Inc. Class A;FB;1.927186;  333.69;9.52;(2.94%)
8;NVIDIA Corporation;NVDA;1.733882;  282.42;6.38;(2.31%)
9;Berkshire Hathaway Inc. Class B;BRK.B;1.425937;  313.80;3.88;(1.25%)
10;JPMorgan Chase & Co.;JPM;1.215996;  165.52;1.74;(1.06%)
11;UnitedHealth Group Incorporated;UNH;1.158777;  471.77;-17.92;(-3.66%)
12;Johnson & Johnson;JNJ;1.139117;  171.58;-0.64;(-0.37%)
13;Home Depot Inc.;HD;1.079789;  406.09;-1.16;(-0.28%)
14;Procter & Gamble Company;PG;0.998727;  162.83;-1.38;(-0.84%)
15;Visa Inc. Class A;V;0.926907;  219.75;-0.25;(-0.11%)
16;Bank of America Corp;BAC;0.853603;  48.16;0.98;(2.08%)
17;Mastercard Incorporated Class A;MA;0.816091;  370.00;-3.90;(-1.04%)
18;Pfizer Inc.;PFE;0.784503;  54.93;-0.70;(-1.26%)
19;Exxon Mobil Corporation;XOM;0.709993;  68.41;1.66;(2.49%)
20;Walt Disney Company;DIS;0.708514;  157.15;1.96;(1.26%)
21;Broadcom Inc.;AVGO;0.664969;  637.03;-5.97;(-0.93%)
22;Cisco Systems Inc.;CSCO;0.638766;  61.04;0.76;(1.26%)
23;Netflix Inc.;NFLX;0.631613;  553.32;-14.20;(-2.50%)
24;Accenture Plc Class A;ACN;0.631074;  378.00;-19.18;(-4.83%)
25;Adobe Inc.;ADBE;0.614102;  514.60;0.17;(0.03%)
26;Thermo Fisher Scientific Inc.;TMO;0.612361;  620.40;1.88;(0.30%)
27;Costco Wholesale Corporation;COST;0.610455;  550.80;0.88;(0.16%)
28;PepsiCo Inc.;PEP;0.603821;  173.86;0.04;(0.02%)
29;AbbVie Inc.;ABBV;0.603499;  135.40;-0.47;(-0.35%)
30;Abbott Laboratories;ABT;0.600372;  135.14;-0.02;(-0.01%)
31;Coca-Cola Company;KO;0.593746;  60.40;-0.39;(-0.64%)
32;Chevron Corporation;CVX;0.592481;  123.26;1.04;(0.85%)
33;Comcast Corporation Class A;CMCSA;0.576317;  50.51;0.29;(0.58%)
34;Verizon Communications Inc.;VZ;0.561912;  53.79;-0.23;(-0.43%)
35;salesforce.com inc.;CRM;0.560019;  229.88;2.21;(0.97%)
36;PayPal Holdings Inc.;PYPL;0.552485;  192.55;5.39;(2.88%)
37;Intel Corporation;INTC;0.550455;  54.15;0.28;(0.52%)
38;Qualcomm Inc;QCOM;0.524788;  186.50;0.00;(0.00%)
39;Wells Fargo & Company;WFC;0.523758;  53.68;1.39;(2.66%)
40;Eli Lilly and Company;LLY;0.519949;  259.33;-1.32;(-0.51%)
41;NIKE Inc. Class B;NKE;0.519842;  161.35;-0.90;(-0.55%)
42;Walmart Inc.;WMT;0.515322;  143.76;-0.17;(-0.11%)
43;McDonald's Corporation;MCD;0.501642;  269.73;2.54;(0.95%)
44;Merck & Co. Inc.;MRK;0.50031;  78.61;-0.27;(-0.34%)
45;Danaher Corporation;DHR;0.48782;  304.00;-1.30;(-0.43%)
46;AT&T Inc.;T;0.468928;  26.16;-0.05;(-0.19%)
47;Linde plc;LIN;0.446062;  338.01;-8.40;(-2.42%)
48;Lowe's Companies Inc.;LOW;0.44314;  258.25;3.50;(1.37%)
49;NextEra Energy Inc.;NEE;0.442348;  85.77;-3.96;(-4.41%)
50;Texas Instruments Incorporated;TXN;0.433478;  186.76;-0.06;(-0.03%)
51;Intuit Inc.;INTU;0.421505;  586.39;-7.31;(-1.23%)
52;Advanced Micro Devices Inc.;AMD;0.413765;  136.50;0.35;(0.26%)
53;Union Pacific Corporation;UNP;0.408276;  253.49;0.70;(0.28%)
54;United Parcel Service Inc. Class B;UPS;0.393076;  217.32;2.76;(1.28%)
55;Philip Morris International Inc.;PM;0.374712;  97.41;1.46;(1.52%)
56;Morgan Stanley;MS;0.3667;  103.50;1.82;(1.79%)
57;Honeywell International Inc.;HON;0.365101;  210.82;-0.24;(-0.11%)
58;Medtronic Plc;MDT;0.358456;  104.97;-1.04;(-0.98%)
59;Oracle Corporation;ORCL;0.350331;  86.34;-0.12;(-0.14%)
60;CVS Health Corporation;CVS;0.349861;  102.84;-2.97;(-2.81%)
61;Applied Materials Inc.;AMAT;0.34875;  156.48;2.74;(1.78%)
62;Bristol-Myers Squibb Company;BMY;0.346105;  61.84;-0.32;(-0.51%)
63;Goldman Sachs Group Inc.;GS;0.339996;  396.93;-1.70;(-0.43%)
64;Raytheon Technologies Corporation;RTX;0.338363;  90.07;0.50;(0.56%)
65;Charles Schwab Corporation;SCHW;0.337338;  90.74;1.43;(1.60%)
66;Starbucks Corporation;SBUX;0.326305;  111.52;1.08;(0.98%)
67;Amgen Inc.;AMGN;0.320277;  225.17;0.03;(0.01%)
68;BlackRock Inc.;BLK;0.319525;  895.49;3.72;(0.42%)
69;Citigroup Inc.;C;0.313301;  65.10;2.25;(3.58%)
70;International Business Machines Corporation;IBM;0.310751;  135.34;-2.88;(-2.08%)
71;Intuitive Surgical Inc.;ISRG;0.305568;  334.18;-7.77;(-2.27%)
72;American Tower Corporation;AMT;0.301743;  264.89;0.32;(0.12%)
73;Caterpillar Inc.;CAT;0.298639;  222.01;2.26;(1.03%)
74;Boeing Company;BA;0.294457;  211.06;-2.02;(-0.95%)
75;Prologis Inc.;PLD;0.292032;  156.57;-1.08;(-0.69%)
76;ServiceNow Inc.;NOW;0.28637;  575.50;2.74;(0.48%)
77;Target Corporation;TGT;0.280606;  231.35;2.49;(1.09%)
78;Anthem Inc.;ANTM;0.280193;  439.45;-18.77;(-4.10%)
79;S&P Global Inc.;SPGI;0.275452;  451.96;-3.80;(-0.83%)
80;General Electric Company;GE;0.273577;  99.95;0.58;(0.58%)
81;American Express Company;AXP;0.270714;  172.90;1.14;(0.66%)
82;Micron Technology Inc.;MU;0.266517;  95.94;1.54;(1.63%)
83;Deere & Company;DE;0.26488;  376.36;4.31;(1.16%)
84;3M Company;MMM;0.26049;  178.00;-1.49;(-0.83%)
85;Automatic Data Processing Inc.;ADP;0.257902;  241.39;-1.67;(-0.69%)
86;Zoetis Inc. Class A;ZTS;0.257418;  217.42;0.86;(0.40%)
87;ConocoPhillips;COP;0.250673;  78.49;2.84;(3.75%)
88;Booking Holdings Inc.;BKNG;0.248495;  2,429.97;16.67;(0.69%)
89;Lam Research Corporation;LRCX;0.244723;  696.55;4.74;(0.69%)
90;Mondelez International Inc. Class A;MDLZ;0.236331;  67.38;-0.03;(-0.04%)
91;Analog Devices Inc.;ADI;0.233189;  175.67;2.83;(1.64%)
92;Ford Motor Company;F;0.232864;  24.47;0.81;(3.42%)
93;Stryker Corporation;SYK;0.22917;  271.50;-0.75;(-0.28%)
94;General Motors Company;GM;0.228452;  63.06;0.32;(0.50%)
95;TJX Companies Inc;TJX;0.227362;  75.47;0.33;(0.44%)
96;Gilead Sciences Inc.;GILD;0.226999;  71.59;-0.59;(-0.82%)
97;PNC Financial Services Group Inc.;PNC;0.226356;  220.57;8.18;(3.85%)
98;Altria Group Inc;MO;0.224957;  49.48;0.84;(1.73%)
99;Lockheed Martin Corporation;LMT;0.221301;  358.00;-0.14;(-0.04%)
100;Chubb Limited;CB;0.209947;  197.99;3.97;(2.05%)
101;Marsh & McLennan Companies Inc.;MMC;0.209431;  166.69;1.86;(1.13%)
102;CSX Corporation;CSX;0.208624;  37.71;0.27;(0.72%)
103;Estee Lauder Companies Inc. Class A;EL;0.20711;  355.39;-0.72;(-0.20%)
104;Truist Financial Corporation;TFC;0.206472;  63.98;2.31;(3.75%)
105;Crown Castle International Corp;CCI;0.204305;  192.50;4.04;(2.14%)
106;CME Group Inc. Class A;CME;0.203968;  225.71;-0.72;(-0.32%)
107;Sherwin-Williams Company;SHW;0.203622;  333.56;-2.79;(-0.83%)
108;Duke Energy Corporation;DUK;0.199979;  103.47;-0.17;(-0.16%)
109;U.S. Bancorp;USB;0.197838;  60.10;1.64;(2.81%)
110;Cigna Corporation;CI;0.196927;  230.51;-6.01;(-2.54%)
111;Charter Communications Inc. Class A;CHTR;0.194211;  631.95;7.09;(1.13%)
112;Edwards Lifesciences Corporation;EW;0.193749;  123.23;-0.69;(-0.56%)
113;Moderna Inc.;MRNA;0.19074;  216.06;0.83;(0.39%)
114;Intercontinental Exchange Inc.;ICE;0.186991;  133.16;0.77;(0.58%)
